id,title,price,description,long,latitude,review_airbnb,calification_rate,created_at,verified,host_review,created_at_1,cameras_on_site,rooms
820476314610452292,,,,,,,,,,,,,
949554862011739795,,,,,,,,,,,,,
728321075618482937,,,,,,,,,,,,,
892038269156210314,,,,,,,,,,,,,
49388100,,,,,,,,,,,,,
806468242672834878,,,,,,,,,,,,,
962656818432924290,,,,,,,,,,,,,
1033322313599536572,,,,,,,,,,,,,
1050114224790914799,,,,,,,,,,,,,
937155391702977672,,,,,,,,,,,,,
1036893096722859748,,,,,,,,,,,,,
868720484433287439,,,,,,,,,,,,,
1057129848936783531,,,,,,,,,,,,,
1031686128596600291,,,,,,,,,,,,,
952454210104510945,,,,,,,,,,,,,
862592046320703531,,,,,,,,,,,,,
958944073497676655,,,,,,,,,,,,,
1000708847835870802,,,,,,,,,,,,,
1029770466666457306,,,,,,,,,,,,,
22104760,"Aparthoestudio en la 70, Laureles",75000,"Unidade de arrendamento inteiro(a) em: Medellín, Colômbia",-75.58999,6.24971,138,,,,,,False,1
41236405,Confortable y espectacular! Apartamento Piso 3,58571,"Apartamento con servicios incluidos entero en Medellín, Colombia",-75.55551,6.24762,3,4.67,02/2019,True,70,02/19,True,1
864458502935761206,,,,,,,,,,,,,
843791549121915899,,,,,,,,,,,,,
789995054859960596,,,,,,,,,,,,,
1020950144648391626,,,,,,,,,,,,,
15020583,,,,,,,,,,,,,
899342665905651150,,,,,,,,,,,,,
758834801481063796,,,,,,,,,,,,,
707238223009790882,,,,,,,,,,,,,
758800029327752965,,,,,,,,,,,,,
1051718666592355587,,,,,,,,,,,,,
42664850,,,,,,,,,,,,,
1045111142743851777,,,,,,,,,,,,,
654617316768060842,,,,,,,,,,,,,
954812906992221247,,,,,,,,,,,,,
888544082806278254,,,,,,,,,,,,,
868077920266271413,,,,,,,,,,,,,
1035388205257613644,,,,,,,,,,,,,
647119916241847207,,,,,,,,,,,,,
650473166866073713,,,,,,,,,,,,,
758691054741967843,,,,,,,,,,,,,
950066723213160321,Nuevo e independiente apartamento cerca a todo,111857,"Condo entero en Medellín, Colombia",-75.55925061234689,6.245023626967539,21,4.95,12/2015,True,25,02/23,False,1
